Division,District_Code,District,All_Holdings,Non_Farm_Holdings,Total_Farm_Holdings,Small_Farm_Holdings,Medium_Farm_Holdings,Large_Farm_Holdings,Owner_Holdings,Owner_Cum_Tenant_Holdings,Tenant_Holdings,Agriculture_Labour_Holdings,Fisheries_Holdings
RANGPUR DIVISION,73,Nilphamari,466291,210998,255293,233588,20562,1143,334559,88033,32850,201269,7652
RANGPUR DIVISION,77,Panchagarh,254136,78333,175803,155440,18821,1542,169648,72807,7458,91819,5031
RANGPUR DIVISION,85,Rangpur,773871,377675,396196,372428,22268,1500,473873,221302,48965,282179,14428
RANGPUR DIVISION,94,Thakurgaon,355599,128390,227209,191776,32608,2825,236900,88713,21547,143662,6338
SYLHET DIVISION,,,,,,,,,,,,,
SYLHET DIVISION,Total,,1954299,937759,1016540,892574,111722,12244,1371669,328389,149434,553629,120149
SYLHET DIVISION,Rural,,1823370,833331,990039,869043,109125,11871,1295635,321102,148709,551086,118997
SYLHET DIVISION,Urban,,130929,104428,26501,23531,2597,373,76034,7287,725,2543,1152
SYLHET DIVISION,36,Habiganj,437133,204400,232733,202261,27475,2997,305569,81329,38187,153355,31272
SYLHET DIVISION,58,Moulvibazar,390722,186322,204400,184906,18039,1455,248987,52379,72233,87093,12827
SYLHET DIVISION,90,Sunamganj,488105,214736,273369,229829,38470,5070,357084,93059,20838,191778,48493
SYLHET DIVISION,91,Sylhet,638339,332301,306038,275578,27738,2722,460029,101622,18176,121403,27557
