page_source,station,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
464,Kutubdia,14.9,17.3,20.6,23.6,24.8,24.6,25.5,24.6,24.8,****,*,*
464,M.court,14.9,17.7,20.3,24.4,24.7,26.4,27.1,26.6,26.6,25.3,*,*
464,Rangamati,13.6,16.8,18.7,22.4,24.1,25.3,25.7,25.2,25.4,23.6,*,*
464,Sandwip,13.6,16.4,19.7,23.7,24.5,26.1,26.6,25.7,25.9,24.2,*,*
464,Sitakunda,13.1,15.2,19,22.8,24.2,26.3,26.3,25.6,25.9,23.4,*,*
464,Teknaf,15.4,16.8,19.9,22,26.1,26.5,****,****,****,****,*,*
464,Gopalgonj,13.1,16.5,20.1,24.2,24,26.7,26.9,26.3,26.3,24.1,*,*
464,Tarash,11.9,15.9,19.8,22.5,23.8,27,27.5,27.1,27.3,24.3,*,*
464,Netrokona,12.5,16.3,19,21.7,23.3,25.6,27,26.9,26.7,24.7,*,*
464,Rajarhat,10.3,13.8,17.9,20.5,22.4,25.2,26.8,26.6,26.3,22.7,*,*
464,Badalgachhi,10.4,15,19.2,21.3,23.1,26.5,26.9,27,26.8,23.2,*,*
464,Dimla,10.5,14.5,17.9,20.4,22.3,25.3,27,26.8,26.3,22.3,*,*
464,Kumarkhali,12.2,15.8,20,23.1,24,27,27.1,26.7,26.9,24.2,*,*
464,Tetulia,9.1,13.4,16.5,19.7,21.6,24.8,26,26,25.6,20.7,*,*
464,Nikli,12,11.7,15.4,18.6,21.4,22.5,24.5,26.1,25.6,25.3,*,*
465,Dinajpur,9.7,12.8,16.8,22.2,24.0,25.9,27.2,26.7,26.1,24.0,17.7,12.0
465,Rangpur,11.2,14.2,18.1,23.5,24.5,25.5,27.4,26.7,26.4,23.8,***,***
465,Rajshahi,10.7,14.1,17.9,24.0,25.3,27.5,27.4,26.5,26.6,24.6,18.5,12.7
465,Bogura,11.6,15.4,19.4,25.5,25.2,26.6,27.5,26.8,26.7,24.9,19.6,14.0
465,Mymensingh,13.0,15.7,18.6,24.8,24.8,25.8,27.3,26.8,26.9,24.8,19.0,13.4
465,Sylhet,14.3,16.4,19.4,23.0,24.2,25.0,26.5,25.8,26.8,24.4,20.0,15.3
465,Srimangal,11.8,13.7,17.4,23.6,23.9,25.3,26.6,25.4,26.1,24.0,17.9,12.6
465,Ishwardi,10.7,14.0,17.8,24.4,25.4,27.6,27.4,26.5,26.5,24.8,18.7,12.7
465,Dhaka,14.1,18.1,20.9,27.0,26.2,27.6,27.7,26.7,26.9,25.4,21.0,16.4
465,Cumilla,13.0,16.2,19.2,25.5,25.2,26.5,26.9,25.9,26.5,25.3,20.0,***
465,Chandpur,14.2,17.8,20.9,26.5,26.2,27.9,27.3,26.3,26.8,25.6,21.2,16.2
