page_source,station,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
460,Sandwip,26.4,28.4,33.4,32.5,32.5,31.5,32.6,32.7,32.5,33.2,31.9,29.0
460,Sitakunda,26.8,28.5,33.7,33.0,32.7,31.8,33.1,33.4,33.0,33.0,32.1,29.2
460,Teknaf,28.9,29.8,33.2,33.4,32.9,31.7,31.9,31.7,31.5,32.4,31.5,30.1
460,Gopalgonj,*,*,*,*,*,*,*,*,*,*,*,*
460,Tarash,*,*,*,*,*,*,*,*,*,*,*,*
460,Netrokona,*,*,*,*,*,*,*,*,*,*,*,*
460,Rajarhat,*,*,*,*,*,*,*,*,*,*,*,*
460,Badalgachhi,*,*,*,*,*,*,*,*,*,*,*,*
460,Dimla,*,*,*,*,*,*,*,*,*,*,*,*
460,Netrokonai,*,*,*,*,*,*,*,*,*,*,*,*
461,Dhaka,25.1,29.3,32.4,36.4,35.4,34.2,34.4,32.7,34,32.8,*,*
461,Tangail,24.3,28.9,31.8,35.8,35.1,34.8,34.7,33.2,34.2,32.7,*,*
461,Mymensingh,24.4,27.9,29.8,34.1,33.5,32.8,33.6,32.7,33.5,31.6,*,*
461,Faridpur,24.6,29.6,32.5,36.7,34.6,33.9,34.4,33.2,33.6,33,*,*
461,Madaripur,24.1,28.5,31.7,35.5,34.8,34,33.9,32.4,32.9,32.1,*,*
461,Srimangal,26.7,29.6,31.3,34.9,34.5,33.4,34.4,32.9,34.9,32.4,*,*
461,Sylhet,26.5,29.1,30.8,33.3,33.3,31.9,33.2,32,34.4,31.8,*,*
461,Bogura,24.1,28.6,31.4,35.3,34.6,34.9,34.2,33.1,34,32.3,*,*
461,Dinajpur,23.5,28,30.9,34.4,34.5,35.2,34.1,33.4,33.4,31.7,*,*
461,Ishwardi,24,28.9,32.6,37.3,35.7,36.3,35.3,34.1,34.3,32.3,*,*
461,Rajshahi,24.2,29.5,32.8,37.5,36.3,37.3,35.8,34,34.3,32.4,*,*
461,Rangpur,23.9,27.7,30.7,34.1,34,33.7,33.9,33.4,34.1,31.8,*,*
461,Syedpur,24.3,28.5,31.7,34.6,34.8,34.9,34.2,34,34.3,32.6,*,*
461,Chuadanga,24.2,29.5,33.1,38,36.3,35.9,35.4,33.9,34.1,32.9,*,*
461,Jashore,25.2,30.3,33.2,37.5,35.8,35.8,34.7,33.5,33.9,33.2,*,*
461,Khulna,25.4,29.7,32.5,36.7,35.7,34.7,33.9,32.7,33.2,33.1,*,*
461,Mongla,26,30.4,33.1,36.8,35.3,34.8,34.5,33,33.2,33.1,*,*
461,Satkhira,25,29.3,31.8,36.2,35.3,34.5,33.9,32.8,33.1,32.6,*,*
461,Barishal,26.3,29.9,32.5,35.4,34.6,33.5,33.4,31.8,32.9,32.4,*,*
461,Bhola,26.4,29.9,32.3,35.4,34.4,33.5,33.5,32.1,33,32.8,*,*
461,Khepupara,27.6,30.7,33.2,35.7,34.7,33.2,33,31.7,32.6,32.4,*,*
461,Patuakhali,26.9,30.5,32.7,35.7,34.7,33.5,33.1,31.9,32.6,32.6,*,*
461,Chandpur,25.2,29.5,32.3,35.6,34.7,33.8,34,32.6,33.7,32.8,*,*
461,Ambagan(Ctg,28.2,29.6,33.3,35.1,33.6,32.7,33.5,31.1,33,32.3,*,*
461,Chittagong,27.1,28.9,32.1,34.1,33.2,32.9,33.7,31.3,33.1,32.3,*,*
461,Cumilla,26.2,28.9,31.4,34.6,34.2,32.8,33.4,31.6,33.5,32.3,*,*
461,Cox's Bazar,28.2,30.4,33.1,34.8,33.4,32.4,32.3,31,32.5,32.6,*,*
461,Feni,27.2,30,32.1,35.7,34.5,32.5,34,31.8,33.8,32.7,*,*
461,Hatiya,26.8,28.9,31.5,34.5,33.3,32.3,32,30.9,32.1,31.5,*,*
461,Kutubdia,27.2,29.1,31.3,33.9,33.4,32.5,33.2,31.3,32.5,****,*,*
461,M.court,25.8,29.3,31.6,35.2,34.2,32.6,33.2,31.5,32.8,31.7,*,*
461,Rangamati,27.6,30.7,32.8,35.8,34.8,33.2,33.9,30.6,33.6,32,*,*
461,Sandwip,27.8,30.1,32.3,34.7,33.7,32.5,33,31.2,33.1,32.4,*,*
461,Sitakunda,28.3,30.6,32.6,34.7,33.6,32.6,33.7,31.5,34.4,33.5,*,*
461,Teknaf,29.3,30.9,33.4,34,33.7,31.5,****,****,****,****,*,*
461,Gopalgonj,24.5,29.2,31.9,35.7,34.8,33.8,33.4,32.1,32.4,32.1,*,*
461,Tarash,23.2,27.9,30.7,34.5,34.2,35.1,34,33.2,34.2,31.9,*,*
461,Netrokona,25,28,30.1,33.5,33.3,32.4,32.2,32.3,33.4,31.5,*,*
461,Rajarhat,23.7,27.4,30.2,33.4,33.3,32.5,33.3,33,33.5,31.3,*,*
461,Badalgachhi,23.8,28.3,31.3,35,34.7,35.4,34,33.3,33.5,31.5,*,*
461,Dimla,23.6,26.9,30,33.1,33.9,32.9,33.1,32.7,33,31.1,*,*
461,Kumarkhali,24.8,30.3,33.2,37,35.1,35.2,34.5,33.1,33.7,32.7,*,*
461,Tetulia,23.7,27.1,30.1,32.7,33.2,32.8,32.8,32.4,33.3,31.5,*,*
461,Nikli,23.9,23.6,27.7,30.1,34.8,34.1,33.3,34.1,32.5,34.1,*,*
462,Dinajpur,20.2,26.6,29.8,36.3,34.3,32.9,34.1,33.6,33.7,31.5,30.2,25.9
462,Rangpur,20.8,26.5,29.7,35.4,34.2,32.6,34.2,33.8,33.5,31.9,***,***
462,Rajshahi,21.9,27.4,31.7,39.0,35.9,36.2,34.8,33.5,33.8,32.4,30.1,26.1
462,Bogura,21.3,27.2,30.5,37.0,34.3,33.3,34.0,32.7,33.7,31.9,30.7,26.5
462,Mymensingh,21.7,26.6,29.8,35.1,33.9,31.6,33.1,32.0,33.6,31.4,30.5,26.5
462,Sylhet,24.6,27.5,31.0,32.9,32.6,30.7,33.3,31.9,34.4,31.2,30.4,27.1
462,Srimangal,23.4,27.8,31.2,35.8,33.9,32.2,34.2,32.2,34.2,32.3,31.2,27.0
462,Ishwardi,22.1,27.3,31.9,39.2,36.2,36.2,34.5,33.2,33.6,32.3,30.1,25.8
462,Dhaka,23.0,28.5,31.8,37.0,34.9,34.1,33.8,32.2,33.5,32.7,31.2,27.1
462,Cumilla,23.0,28.1,30.7,34.5,34.0,32.6,32.9,30.7,33.3,32.6,31.1,***
462,Chandpur,23.1,28.5,31.4,35.6,34.7,34.2,33.3,31.6,33.4,32.7,30.9,26.8
462,Jashore,23.4,28.6,32.6,38.5,36.2,36.3,33.7,32.7,33.9,33.0,30.7,27.0
462,Faridpur,22.9,28.4,32.1,37.8,35.1,35.0,33.7,32.8,33.7,32.6,30.9,***
462,Madaripur,22.2,27.6,31.1,36.2,35.0,34.6,33.0,31.6,32.9,32.5,30.1,***
462,Khulna,23.1,28.1,32.0,37.8,35.5,35.5,33.2,31.7,33.6,33.0,30.8,***
462,Satkhira,23.0,27.9,31.5,37.4,35.2,35.3,33.2,31.7,33.0,32.3,30.0,***
462,Barishal,23.9,29.0,32.1,36.5,34.8,34.5,32.7,31.0,33.1,32.8,30.8,***
462,Bhola,24.1,28.9,31.9,35.9,34.8,34.3,32.8,31.0,33.4,33.0,31.1,27.1
462,Feni,24.1,29.1,31.9,35.2,34.7,32.9,33.0,31.0,33.8,33.7,32.3,28.2
462,M.court,23.2,28.1,31.1,34.8,34.4,32.9,32.2,30.2,32.9,32.6,30.7,26.7
462,Hatiya,24.3,28.2,***,***,***,***,***,***,***,***,***,***
462,Sitakunda,26.0,30.0,32.5,35.3,34.9,33.5,32.8,30.7,33.4,33.5,32.3,***
462,Sandwip,25.5,29.1,31.8,34.3,34.4,32.6,31.9,30.2,33.0,33.3,31.8,28.8
462,Ambagan(Ctg,25.5,29.4,32.2,35.6,34.1,33.0,32.1,30.3,32.9,33.2,32.1,***
462,Kutubdia,24.9,28.0,31.1,34.6,33.7,33.0,31.7,30.6,32.6,33.0,31.8,28.1
462,Cox's Bazar,26.2,29.5,32.2,35.0,34.1,32.4,30.8,30.6,32.4,33.0,32.1,***
462,Teknaf,27.4,30.0,32.5,34.8,***,***,***,***,***,***,***,***
462,Rangamati,25.1,29.2,32.8,37.0,34.5,33.1,32.6,30.9,33.6,32.6,30.9,***
462,Patuakhali,24.5,29.2,32.7,36.7,35.1,34.5,32.4,31.1,33.1,33.2,30.6,27.4
462,Khepupara,25.1,29.8,32.8,36.7,35.1,34.5,32.5,31.0,32.9,33.5,31.0,28.0
462,Syedpur,21.0,27.3,30.9,36.2,34.6,32.6,34.1,33.6,34.2,32.1,30.5,***
462,Tangail,22.3,27.8,31.4,37.7,35.2,34.2,34.0,32.4,33.7,32.3,31.2,26.7
462,Mongla,23.8,28.9,32.5,38.3,35.6,35.2,33.1,31.6,33.3,33.3,30.5,26.9
462,Chuadanga,22.3,27.8,32.2,39.1,36.5,36.5,34.7,33.0,34.0,32.6,30.2,25.8
462,Chittagong,24.8,28.7,31.7,34.8,34.0,33.2,32.5,30.6,32.9,33.0,31.4,***
463,Dhaka,15.3,16.0,23.0,25.9,25.4,27.0,27.7,27.3,26.9,25.0,20.7,17.2
463,Tangail,12.9,13.8,20.5,25.1,24.5,25.9,27.1,26.4,25.9,23.9,18.4,14.9
463,Mymensingh,13.5,14.0,20.4,24.1,24.3,25.7,27.0,26.9,26.1,24.5,18.2,14.7
463,Faridpur,13.7,14.1,20.8,25.1,24.7,26.2,26.7,26.6,26.2,25.0,18.7,14.8
463,Madaripur,13.1,13.2,19.3,24.9,24.5,26.0,26.7,26.3,26.1,23.8,18.5,14.5
463,Srimangal,11.7,11.2,17.0,22.7,23.4,24.8,25.9,25.5,25.3,22.7,17.3,13.3
463,Sylhet,14.4,13.9,20.1,22.2,23.3,24.5,25.8,26.1,25.5,24.5,19.5,16.5
463,Bogura,12.9,14.1,21.1,24.8,24.4,25.7,27.2,27.1,26.1,24.1,18.4,15.0
463,Dinajpur,11.4,12.2,19.1,23.2,23.7,24.9,27.3,26.8,26.1,23.5,16.8,13.4
463,Ishwardi,12.0,12.7,19.5,25.5,24.1,26.2,26.7,26.1,25.5,23.2,16.7,13.0
463,Rajshahi,12.2,12.6,19.8,25.7,24.2,26.2,27.0,26.6,26.1,24.0,18.4,15.0
463,Rangpur,12.3,13.1,20.1,23.0,24.0,25.1,27.2,26.7,26.0,23.8,18.4,14.7
463,syedpur,11.6,12.2,19.2,22.5,23.6,25.0,27.2,26.7,25.9,22.7,16.9,13.3
463,Chuadanga,12.0,12.6,19.5,25.3,24.7,26.5,26.7,26.4,26.0,23.2,16.5,12.8
463,Jashore,12.5,13.7,20.1,25.7,25.2,26.9,26.3,26.2,25.5,23.0,16.2,13.2
463,Khulna,14.2,15.4,21.3,26.3,25.7,27.2,27.0,26.8,26.4,24.9,18.9,15.5
463,Mongla,14.8,15.8,21.6,26.3,26.1,27.0,26.8,26.5,26.2,24.6,19.8,16.2
463,Satkhira,14.4,15.0,21.4,26.5,25.2,27.2,27.0,26.5,26.4,24.1,18.3,14.7
463,Barishal,12.8,13.6,19.6,25.7,25.1,26.4,26.7,26.2,25.9,23.6,18.1,14.0
463,Bhola,13.4,13.9,20.0,25.5,25.1,26.5,26.6,26.3,26.0,23.9,18.7,14.3
463,Khepupara,14.0,15.0,20.7,26.3,25.7,26.8,26.5,26.2,25.8,24.7,19.2,15.2
463,Patuakhali,14.5,14.9,20.8,25.6,25.4,26.6,26.8,26.6,26.2,25.5,19.6,15.6
463,Chandpur,15.2,15.4,21.7,25.6,25.3,26.6,26.9,26.8,26.3,24.6,20.9,17.1
463,Ambagan(Ctg,15.7,15.7,22.0,25.8,24.9,25.7,26.3,26.1,25.6,24.4,21.1,17.3
463,Chittagong,16.0,15.6,21.8,26.0,25.1,25.6,26.4,26.3,25.7,25.5,21.9,17.9
463,Cumilla,14.2,13.8,19.5,24.8,24.6,25.6,26.1,26.1,25.6,23.8,18.7,14.2
463,Cox's Bazar,16.7,16.4,22.0,25.6,25.7,25.2,25.9,25.8,25.4,25.4,22.5,18.8
463,Feni,13.4,14.0,19.7,24.9,24.7,25.3,25.8,25.9,25.3,23.6,19.0,14.6
463,Hatiya,14.7,13.9,19.8,25.3,25.5,25.9,26.1,25.8,25.8,24.2,19.9,16.0
463,Kutubdia,15.7,15.0,19.9,24.3,24.6,24.6,25.8,25.4,25.1,24.2,20.7,16.9
463,M.court,15.4,15.4,21.1,25.2,25.2,26.2,26.8,26.4,26.1,24.9,21.0,16.9
463,Rangamati,13.7,13.0,19.2,24.6,24.1,24.7,25.2,25.1,24.9,23.8,19.4,15.7
463,Sandwip,14.0,13.9,20.3,25.6,25.2,25.8,26.3,26.2,25.6,23.7,18.8,14.6
463,Sitakunda,12.2,12.1,19.5,24.9,24.7,24.2,25.7,25.3,25.1,23.7,18.8,14.6
463,Teknaf,14.7,16.1,21.2,25.6,25.8,25.4,25.7,25.4,25.8,25.5,20.6,18.1
463,Gopalgonj,*,*,*,*,*,*,*,*,*,*,*,*
463,Tarash,*,*,*,*,*,*,*,*,*,*,*,*
463,Netrokona,*,*,*,*,*,*,*,*,*,*,*,*
463,Rajarhat,*,*,*,*,*,*,*,*,*,*,*,*
463,Badalgachhi,*,*,*,*,*,*,*,*,*,*,*,*
463,Dimla,*,*,*,*,*,*,*,*,*,*,*,*
463,Netrokonai,*,*,*,*,*,*,*,*,*,*,*,*
464,Dhaka,14.5,18.2,21.8,25,25.4,27.3,27.7,27,26.9,25.2,*,*
464,Tangail,12.5,16.3,20.2,23.3,23.6,25.9,26,25.5,25.2,22.3,*,*
464,Mymensingh,12.3,16.4,19.8,22.6,23.6,26.2,27.3,27.1,26.8,24.1,*,*
464,Faridpur,12.5,16.2,19.8,23,23.7,26.6,26.8,26.6,26.7,24.4,*,*
464,Madaripur,12.6,16,19.6,23.3,23.7,26.2,26.8,26.4,26.4,24.2,*,*
464,Srimangal,10.5,13.5,17.4,21,23.1,25.1,26.2,26,26,23.2,*,*
464,Sylhet,13.9,16.6,19.7,22.4,23.6,25.2,26.1,26.1,26.3,23.7,*,*
464,Bogura,12.1,16.2,20.5,23.6,24,26.8,27.4,27.1,27.2,24.3,*,*
464,Dinajpur,10.4,14.1,18.7,21.1,23.1,25.9,27.2,26.9,26.5,22.5,*,*
464,Ishwardi,10.6,14.1,18.8,22.2,23.4,26.9,27,26.7,26.4,23.1,*,*
464,Rajshahi,11.2,14.2,19,22.3,23.6,26.9,27.1,26.9,26.6,23.5,*,*
464,Rangpur,11.4,15.5,19.5,22.4,23.6,25.9,27.4,27,27,23.7,*,*
464,syedpur,10.7,14.6,18.7,21.1,22.6,25.6,27,26.9,26.4,22.7,*,*
464,Chuadanga,11.2,14.6,19.1,22.3,24,27,27,26.7,26.7,23.5,*,*
464,Jashore,12.3,15.8,19.7,23.2,24.1,27,26.9,26.6,26.9,23.8,*,*
464,Khulna,14.1,17.9,20.9,24.9,25,27.5,27.4,26.7,26.6,24.8,*,*
464,Mongla,14.8,18.3,21.4,24.9,24.9,27.1,27.2,26.8,26.4,24.8,*,*
464,Satkhira,13.8,17.6,20.8,24.6,25,27.1,27.6,26.9,27.1,24.8,*,*
464,Barishal,12.3,16.5,19.6,23.7,24,26.7,26.9,26.3,26,24,*,*
464,Bhola,12.6,16.5,19.8,24.1,24.5,26.7,27.1,26.5,26.1,24.4,*,*
464,Khepupara,13.6,17.4,20.8,24.8,24.9,26.8,27,26.1,26,24.6,*,*
464,Patuakhali,14.1,17.3,20.7,24.6,24.7,27,27.1,26.5,26.3,24.9,*,*
464,Chandpur,14.8,18.2,21.2,24.7,24.8,26.9,27.2,26.7,26.9,25.1,*,*
464,Ambagan(Ctg,15.6,17.8,21.8,24.6,25.2,26.3,26.6,26,26.2,24.7,*,*
464,Chittagong,15.6,18.2,21.8,24.9,25.5,26.2,26.8,26.1,26.5,25,*,*
464,Cumilla,13,16.5,19.3,23.3,24,26,26.5,26.2,26.4,24.1,*,*
464,Cox's Bazar,16.4,18.4,22.5,25.2,25.6,26.1,26.2,25.4,26,24.8,*,*
464,Feni,12.9,15.8,18.9,23.1,24.1,25.6,26.2,25.7,25.8,23.7,*,*
464,Hatiya,14.1,16.7,20.5,24,24.7,26,27.1,26.2,26,24.5,*,*
